assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker
91.8959;13986;8.6891;12.8948;17.6751;21.1884;49.45;5.691;2.7977;5.3795;2.3338;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;50.17;5.7739;2.8384;5.4578;2.3678;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;48.87;5.6243;2.7649;5.3164;2.3064;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;49.91;5.744;2.8237;5.4295;2.3555;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;51.0;5.8694;2.8854;5.5481;2.407;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;50.64;5.828;2.865;5.5089;2.39;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;49.97;5.7509;2.8271;5.436;2.3584;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;48.73;5.6082;2.757;5.3011;2.2998;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;49.51;5.698;2.8011;5.386;2.3367;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;47.91;5.5138;2.7106;5.2119;2.2611;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;47.32;5.4459;2.6772;5.1478;2.2333;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;45.35;5.2192;2.5657;4.9334;2.1403;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;45.29;5.2123;2.5624;4.9269;2.1375;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;45.11;5.1916;2.5522;4.9073;2.129;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;44.26;5.0937;2.5041;4.8149;2.0889;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;44.0;5.0638;2.4894;4.7866;2.0766;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;43.52;5.0086;2.4622;4.7344;2.054;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;44.73;5.1478;2.5307;4.866;2.1111;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;44.98;5.1766;2.5448;4.8932;2.1229;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;43.98;5.0615;2.4882;4.7844;2.0757;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;45.11;5.1916;2.5522;4.9073;2.129;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;45.47;5.233;2.5725;4.9465;2.146;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;44.32;5.1007;2.5075;4.8214;2.0917;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;44.47;5.1179;2.516;4.8377;2.0988;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;43.83;5.0443;2.4798;4.7681;2.0686;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;43.61;5.0189;2.4673;4.7442;2.0582;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;44.14;5.0799;2.4973;4.8018;2.0832;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;44.03;5.0673;2.4911;4.7898;2.078;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;43.32;4.9856;2.4509;4.7126;2.0445;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;44.17;5.0834;2.499;4.8051;2.0846;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;42.54;4.8958;2.4068;4.6278;2.0077;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;42.46;4.8866;2.4022;4.6191;2.0039;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;43.33;4.9867;2.4515;4.7137;2.045;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;43.5;5.0063;2.4611;4.7322;2.053;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;43.23;4.9752;2.4458;4.7028;2.0403;1361346696;SUZB3
